"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","Duration__in_seconds_","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"754","Exp1First",3.5,1,1,2,3,1,1,1,3,9,2,2,NA,NA,NA,NA,1,6,2,2,4.75,4.08333333333333,7,5,3,66,2,"USA","USA",4,7,6,"3ZAZR5XV01JOHZ0OXZO0CIOLBA9ZCL","3JAOYN9IHL3XXM0JTWCOQUJTODL33W","","",764,"Negative",6,2,2
"755","Exp2First",4.16666666666667,1,1,2,3,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.5625,3.41666666666667,6.5,2,14,70,2,"USA","USA",4,7,7,"36TFCYNS44BQTCBPI9EGQO5QG2IHXH","3OPLMF3EU5OLHUJIHL03VUBGTG2NL9","","",820,"Negative",9,1,1
"756","Exp1First",3.33333333333333,1,3,2,1,5,3,5,3,1,9,4,NA,NA,NA,NA,1,1,6,8,5.5625,3.16666666666667,6,10,3,30,1,"USA","USA",5,7,7,"3A4NIXBJ760HLWVBVNR57ZIZQFAMLC","37ZQELHEQ0Z5NC13HX1IV7Q5TLSNMB","","",574,"Negative",1,6,8
"757","Exp2First",4,1,1,2,3,2,2,1,3,8,1,1,NA,NA,NA,NA,1,1,9,9,4.5,3.83333333333333,6.5,0,8,63,1,"United States","United States",4,7,7,"3ON104KXQKXHS0I4TXYBUGIF2VVW4M","3BFF0DJK8XD6GKJSYQJGGFV3ASWSTT","","",1215,"Negative",1,9,9
"758","Exp1First",3,1,3,2,1,2,2,2,3,9,1,1,NA,NA,NA,NA,1,6,3,2,3.3125,3.33333333333333,5,2,9,37,2,"USA","USA",4,7,4,"308XBLVESI5W53MR9IYSFVG4K80BR7","30EV7DWJTVWXA8KP1J3CNRRQ75HY62","","",995,"Negative",6,3,2
"759","Exp1First",4,1,1,3,2,1,1,1,3,7,2,3,1,5,1,5,NA,NA,NA,NA,3.75,3.91666666666667,7,0,6,40,2,"USA","USA",5,7,6,"3PW9OPU9PQLEOLNESVQ28BVNM5621F","3H4IKZHALBJB5UM3TYGI8MF5YB2NNB","","",494,"Negative",5,1,5
"760","Exp2First",3.66666666666667,1,3,1,2,1,1,1,3,6,4,3,NA,NA,NA,NA,1,1,9,9,4.375,4.5,4,3,13,25,2,"USA","USA",5,7,4,"3DL65MZB8DGQ649S1CANR8N3N5SCEM","3U74KRR67MM907RNQU2UHLLXNTONTC","","",306,"Negative",1,9,9
"761","Exp2First",4.16666666666667,1,1,3,2,1,1,1,3,9,1,1,1,8,1,2,NA,NA,NA,NA,4.9375,3.25,6.5,6,11,64,1,"USA","USA",2,7,6,"3OHYZ19UGC6OPGPJBCHSQPRTR4IAOR","3ICOHX7ENCC4QSHJZTB17NPJCQR0EP","","",1015,"Negative",8,1,2
"762","Exp2First",4.16666666666667,1,1,3,2,1,2,3,3,7,1,1,NA,NA,NA,NA,1,3,1,5,3.25,3.91666666666667,5,5,5,67,2,"USA","USA",5,7,7,"3Y5140Z9DXHLGYKI20MKWNK2EHOPIW","3NOEP8XAU43GK9CKBJGJADBY04DPXT","","",999,"Negative",3,1,5
"763","Exp2First",2.33333333333333,1,3,1,2,2,2,2,3,6,2,3,1,3,7,5,NA,NA,NA,NA,4.6875,3.58333333333333,4.5,3,8,23,2,"USA","USA",2,7,6,"3JV9LGBJWTFPZ72MXC92MB2WPZ2GOG","3D1UCPY6GGAJYJ6P5D7KHBR44ZD38O","","",923,"Negative",3,7,5
"764","Exp1First",3.83333333333333,1,3,1,2,3,3,2,3,4,4,4,NA,NA,NA,NA,1,3,5,3,3.625,3.58333333333333,4.5,1,8,48,1,"USA","USA",4,7,6,"3ATTHHXXWAPQP7M9ORW1Q065GG2XIX","3IJ95K7NDXD5V25H6U3NI268XZGNG3","","",664,"Negative",3,5,3
"765","Exp1First",3.83333333333333,1,3,1,2,2,2,1,3,8,1,1,NA,NA,NA,NA,1,2,2,2,3.1875,3.58333333333333,4.5,0,11,57,1,"United States","United States",4,7,7,"3VA45EW49NOSVSCJFTOZFOYQNBXO14","3TUOHPJXYHY64I9LN5UE27JUT1GXWW","","",1155,"Negative",2,2,2
