"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"593","Exp2First",4,1,2,1,3,1,1,1,3,8,2,2,NA,NA,NA,NA,1,6,4,3,4.8125,3.91666666666667,6,4,9,30,2,"USA","USA",5,7,6,"3ZOTGHDK5ICSPCBDSC3JBPLZD7TOSZ","3KVQ0UJWPXMX2ZPBHZBJAOSA0275WV","","","Neutral",6,4,3
"594","Exp2First",2.66666666666667,1,1,3,2,9,9,9,3,4,5,6,1,1,9,9,NA,NA,NA,NA,4.125,4.16666666666667,7,6,2,32,1,"United States","United States",4,7,5,"35GCEFQ6I5P04Z4546DZJFKR5VZ3ZQ","356TQKY9XFY1Z27C7PAAUS3K91Z87Y","","","Neutral",1,9,9
"595","Exp1First",4.16666666666667,1,3,1,2,2,2,3,3,8,1,2,1,6,2,5,NA,NA,NA,NA,4.5,3.83333333333333,6.5,3,11,57,1,"United States","United States",4,7,6,"34T446B1C0FRFEUYT5B86JLZT1QC02","3H6W48L9F4Q1V97U1EKX8UXRR27PW0","","","Neutral",6,2,5
"596","Exp1First",4.16666666666667,1,2,1,3,6,5,9,3,1,8,8,NA,NA,NA,NA,1,1,9,9,4.3125,3.75,7,10,7,41,2,"United States","WV",2,7,5,"3DYGAII7PL9YXW81F8RT5PBO5O4PQS","3UDTAB6HH60NVWQ2RIVFF9O8LTB09F","","","Neutral",1,9,9
"597","Exp1First",4.5,1,1,3,2,2,2,2,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4.1875,4.41666666666667,4,0,18,53,2,"USA","USA",4,7,3,"37C0GNLMHF4WYHMRVQM0ZQD8R4QD66","3TZ0XG8CBUL5DLV5MM8U8OUQ4RN89A","","","Neutral",9,1,1
"598","Exp1First",3.5,1,1,2,3,3,2,6,3,7,1,2,1,4,6,3,NA,NA,NA,NA,4.5625,3.91666666666667,3,2,9,29,1,"USA","USA",3,7,7,"3E1QT0TDFPA0A6L1GJK9A1PCP4PI80","37S0QRNUFBH5ZGCVHU2G8SZFKL588L","","","Neutral",4,6,3
"599","Exp2First",3.83333333333333,1,2,3,1,2,2,2,3,7,2,1,NA,NA,NA,NA,1,5,5,5,4.8125,3.83333333333333,3.5,2,2,46,2,"US","US",3,7,5,"3TAYZSBPLL9EI5M85E5M4CIWC2Y2S8","37S0QRNUFBH5ZGCVHU2G8SZFKL588L","","","Neutral",5,5,5
"600","Exp1First",3.5,1,1,2,3,2,2,3,3,8,1,2,NA,NA,NA,NA,1,6,4,3,4.1875,3.58333333333333,3.5,5,8,56,1,"United States","United States",4,7,6,"37M28K1J0QEAO5YMVZPNITA7S7DJAG","3JAOYN9IHL3XXM0JTWCOQUJTODL33W","","","Neutral",6,4,3
"601","Exp2First",2.83333333333333,1,2,3,1,4,3,3,3,7,2,1,NA,NA,NA,NA,1,6,4,4,5.1875,3.83333333333333,6,7,5,50,1,"USA","USA",4,7,6,"3GM6G9ZBKNY5493G4WTWTQSGKQUTMG","3EGKVCRQFWT3GK1KXAKKY7DIL6SYBN","","","Neutral",6,4,4
"602","Exp1First",3.83333333333333,1,2,3,1,7,8,8,3,8,3,1,1,8,6,7,NA,NA,NA,NA,4.875,4.41666666666667,7,2,4,39,2,"United States","nv",4,7,7,"3S0TNUHWKTJJ2V5FO5JYJ49ZXZF8DM","3J6BHNX0U9TAXO10WLO2GUY14GXNK6","","","Neutral",8,6,7
"603","Exp2First",3.5,1,3,1,2,1,1,1,3,2,8,5,1,9,1,1,NA,NA,NA,NA,4.5625,4.66666666666667,7,10,0,61,2,"USA","USA",4,7,7,"304SM51WA3586IM4O7YX55L068CSB1","3YCT0L9OMMA8L7E81UX47GPBLAASNS","","","Neutral",9,1,1
"604","Exp2First",2.66666666666667,1,2,3,1,1,1,3,3,9,2,1,NA,NA,NA,NA,1,4,5,6,4.8125,3.16666666666667,5.5,8,6,37,2,"USA","USA",3,7,6,"3RJSC4XJ10V6GTLJEVO0SDFP1K850R","3WRBLBQ2GR92A6DA5O1P7QAVP660G6","","","Neutral",4,5,6
